9;"Histoire d’Amyntor et de Thérèse, traduite de l’anglois";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Nouvelles historiques par M. d’Arnaud, tome premier, troisième nouvelle, Le sire de Créqui";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Les épreuves du sentiment";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Suite des nouvelles historiques par M. d’Arnaud, tome second, troisième nouvelle, Le Comte de Strafford";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Les confidences d’une jolie femme";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Suite des Nouvelles historiques par M. d’Arnaud, tome troisième, seconde nouvelle, Le comte de Gleichen";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Les matinées, nouvelles anecdotes par Darnaud (sic)";;
"ARNAUD, François-Thomas-Marie de Baculard d’ n";"Les époux malheureux ou histoire de monsieur et madame de nouvelle édition, corrigée, augmentée de deux nouvelles parties, qui sont la conclusion de l’histoire, enrichie de belles estampes, &c., par M. d’Arnaud";;
"ARNAUD, François-Thomas-Marie de Baculard d’ Salomon c GESSNER, Jean-François MARMONTEL et d’autres";"Suite des Epreuves du sentiment par M. d’Arnaud, tome troisième, cinquième anecdote, Rosalie";;
"ARNAUD, François-Tliomas-Marie de Baculard d’";"Suite des Epreuves du sentiment par M. d’Arnaud, tome quatrième, troisième anecdote, Pauline et Suzette";;
"ARNAUD. François-Thomas-Marie de Baculard d’";"Nouvelles historiques par M. d’Arnaud, tome troisième";;
"ARTAUD, Jean-Baptiste";"La petite poste dévalisée";;
"ARTAUD, Jean-Baptiste";"Taconnet ressuscité voyageant à Paris et en province";;
"ARTOIS, d’ (curé de Moléans)";"Le négociant infortuné ou le père de famille malheureux, par monsieur D’Artois, curé de Moléans";;
"AUNEUIL, Louise de Bossigny, comtesse d’";"adapt. par n mademoiselle de LUBERT La tyrannie des fées détruite ou l’origine de la machine de MarÛ";;
"BAGE, Robert";"La belle Syrienne, roman en trois parties, par l’auteur du Mont-Henneth et des Dunes de Barrham, traduit de Langlois";;
"BAHRDT, Cari Friedrich";"Alvaro et Ximcnès ou les coups de l’amour et de la fortune";;
"BALTHAZARD, abbé";"L’isle des philosophes et plusieurs autres nouvellement découvertes & remarquables par leurs rapports avec la France actuelle";;
"BARBA, Jean-Nicolas";"Vie politique de Marie-Louise de Parme, reine d’Espagne, contenant ses intrigues amoureuses avec le duc d’Alcudia et autres amans et sa jalousie contre la duchesse d’Alve, etc. etc., recueillie sur des mémoires authentiques, ornée de jolies gravures A la cour d’Espagne et se trouve à";;
"BARBAULT-ROYER, P.-F.";"Les loisirs de la liberté, nouvelles républicaines par le citoyen Barbault";;
"BARBAULT-ROYER, P.-F.";"Craon et les trois opprimés, par M. Barbault-Royer";;
"BARBÉ-MARBOIS, François, marquis de";"La Parisienne en province, ouvrage national, par M.....";;
"BARBÉ-MARBOIS, François, marquis de";;;
"BARBEU DU BOURG, Jacques";"Calendrier de Philadelphie ou constitutions de Sancho-Pança et du bonhomme Richard en Pensylvanie";;
"BARDOU, Jean";"Histoire de Laurent Marcel ou l’observateur sans préjugés";;
"BARET, Paul";"Le grelot ou les & c, & c, &c, ouvrage dédié à moi";;
"BARET, Paul";"L’homme ou le tableau de la vie, histoire des passions, des vertus et des événemens de tous les âges, trouvés dans les papiers de feu M. l’abbé P***";;
"BARET, Paul";"Mademoiselle Javotte, ouvrage moral écrit par elle-même et publié par une de ses amies";;
"BARET, Paul";"Fo-ka ou les métamorphoses, conte chinois dérobé à M. de V***";;
"BARET, Paul n";"Le grelot ou les &c. &c. &c. ouvrage dédié à moi, nouvelle édition, augmentée de l’Anti-grelot et suivi de l’Ivrogne, conte tragi-comique et moral";;
"BARTHE, Nicolas-Thomas";"La jolie femme ou la femme du jour";;
"BARTHÉLEMY, abbé Jean-Jacques";"Voyage du jeune Anacharsis en Grèce dans le milieu du quatrième siècle avant l’êre vulgaire";;
"BARTHÉLEMY, abbé Jean-Jacques";"Halicamasse, Prienne, Paphos et le Mont-Érix,opuscules posthumes de l’abbé Barthélemy";;
"BARTHÉLEMY, abbé Jean-Jacques";"Les amours de Carite et de Polydore, roman traduit du grec";;
"BARTHÉLEMY, abbé Louis";"Mémoires secrets de M^e. de Tencin, ses tendres liaisons avec Ganganelli ou l’heureuse découverte littéraire, pour servir de suite aux ouvrages de cette femme estimable, par M. l’abbé ***, de Grenoble";;
