9;"Histoire d’Amyntor et de Thérèse, traduite de l’anglois";;
"DUCHÉ DE VANCY, Joseph-François";"Histoires édifiantes pour servir de lecture aux jeunes personnes de l’un et de l’autre sexe, nouvelle édition, revue, mise-en-ordre & considérablement augmentée par M. Collet, prêtre de la congrégation de la mission, docteur en théologie";;
"DUCLOS, chevalier";"Les cinq cents matinées et une demie, contes syriens traduits en françois avec des notes historiques, géographiques, critiques, morales, &c.";;
"DUCLOS, chevalier";"Histoire et aventures de milord Pet, conte allégorique, par madame F***";;
"DUCOS, Angélique";"Caze de La Bove, madame Clémence de Villefort, par l’auteur de Marie de Sainclair";;
"DUCOS, Angélique Caze de La Bove, madame Marie de";"Sinclair";;
"DUCOUDRAY, Alexandre-Jacques Chevalier, dit le chevalier";"Les pressentimentsjustifiés, anecdote historique";;
"DUCRAY-DUMINIL, François-Guillaume";"Les veillées de ma grand’mère, nouveaux contes de fées à l’usage des jeunes enfans, par le C. Ducray-Duminil";;
"DUCRAY-DUMINIL, François-Guillaume";"Victor ou l’enfant de la forêt, par M. Ducray-Duminil, auteur de Lolotte et";;
"DUCRAY-DUMINIL, François-Guillaume";"Cœlina ou l’enfant du mystère, par le C. Ducray-Duminil";;
"DUCRAY-DUMINIL, François-Guillaume";"Les cinquante francs de Jeannette, par le citoyen Ducray-Duminil";;
"DUCRAY-DUMINIL, François-Guillaume";"Alexis ou la maisonnette dans les bois, manuscrit trouvé sur les bords de l’Isère & publié par l’auteur de Lolotte et Fanfan";;
"DUCRAY-DUMINIL, François-Guillaume";"Lolotte et Fanfan ou les aventures de deux enfans abandonnés dans une isle déserte, rédigées & publiées sur des manuscrits anglais, par M.D**. du M**. A Charle’s-Town et se trouve à";;
"DUCRAY-DUMINIL, François-Guillaume";"Contes moraux de ma grand’tante";;
"DUCRAY-DUMINIL, François-Guillaume";"Les soirées de la chaumière ou les leçons du vieux père, ouvrage orné de gravures, par le citoyen Ducray-Duminil";;
"DUCRAY-DUMINIL, François-Guillaume";"Petit-Jacques et Georgette ou les petits montagnards auvergnats, par l’auteur de Lolotte et Fanfan, et d’Alexis ou la maisonnette dans les bois";;
"DUCRAY-DUMINIL, François-Guillaume n";"Les soirées de la chaumière ou les leçons du vieux père, par le cit. Ducray-Duminil";;
"DUCRAY-DUMINIL. François-Guillaume";"Codicile sentimental et moral ou recueil de discours, de contes, anecdotes, idylles, romances et poésies fugitives";;
"DUFF, W.";"Histoire de Rhedy, hermite du mont Ararat, conte oriental traduit de l’anglois";;
"DUFRESNES";"Idylles et pièces fugitives trouvées dans un hcrmitage au pied du Mont Ste. Odile";;
"DUGAT, P. -D.";"La mort d’Azaël ou le rapt de Dina, par P.D. Dugat, orné de six gravures";;
"DULAURE, Jacques -A.";"Le retour de mon pauvre oncle ou relation de son voyage dans la lune, écrite par lui-même & mise au jour par son cher neveu";;
"DULAURENT";"Contes moraux à la portée des enfants et des adolescents de l’un et de l’autre sexe";;
"DUMARQUET, abbé Louis-Joseph";"Les délassemens d’un paresseux, par un C.R.D’E.A.C.D.L., membre de plusieurs académies et de la Société anacréon-tique des Rosati d’Arras";;
"DUMONT, madame, née Lutel";"Nouveau recueil de pièces en vers et en prose";;
"DUPLESSIS, chevalier Pierre";"Mémoires de sir George Wollap, ses voyages dans différentes parties du monde, aventures extraordinaires qui lui arrivent, découverte de plusieurs contrées inconnues, description des mœurs & des coutumes des habitans, par M.L.C.D.";;
"DUPLESSIS, chevalier Pierre";"Honorine Derville ou confessions de Mme. la comtesse de B****, écrites par elle-même";;
"DUPLESSIS, chevalier Pierre";"Histoire du marquis de Séligni et de madame de Luzal ou lettres authentiques et originales trouvées dans un porte-feuille à la mort de M. le maréchal de ***, par M.L.C.D. Londres&";;
"DUPLESSY, baronne";"Le mariage de la sœur du diable, roman mystérieux";;
"DUPLESSY, baronne Alexandrine de";"Châteaufort ou la fatale alliance, histoire française mise au jour par la Cne Duplessy, orné (sic) de quatre Figures";;
"DURAND, Antoine-Joseph";"Je veux être heureux, entretiens familiers, par M. D***, docteur de Sorbonne, prieur-curé à Meaux";;
"DUSAUSOIR, François-Jean";"Sélinde ou la modestie récompensée, anecdote par le citoyen Dusausoir, de la Société des belles-lettres";;
"DUVAL-PYRAU, abbé Agiatis, par";"M. l’abbé Duval-Pyrau, conseiller de la cour de son Altesse sérénissime monseigneur le landgrave & prince de Hesse Hombourg & membre de plusieurs académies & sociétés littéraires";;
"DUVAL-PYRAU, l’abbé";"Aristide, par M. l’abbé Duval-Pyrau, conseiller de la cour de S.A.S. Monseigneur le landgrave & prince de Hesse-Hombourg & membre de plusieurs académies & sociétés littéraires";;
"DUVERNET, abbé Théophile-Imarigeon";"Les dévotions de madame de Betzhamooth et les pieuses facéties de monsieur de Saint-Ognon";;
"DUVERNET, abbé Théophile-Imarigeon";"La retraite, les tentations et les confessions de madame la marquise de Montcornillon, histoire morale, dans laquelle on voit comment une jeune veuve devient malheureuse par les conseils de son confesseur";"& comment pour la délivrer de ses malheurs, un jeune colonel de hussards se fit hermite & prophète, ouvrage posthume de feu M. de S. Leu, colonel au service de Pologne";
"DUVERNET, abbé Théophile-Imarigeon";"Monsieur Guillaume ou le disputeur";;
"DUVERNET, abbé Théophile-lmarigeon";"Les dîners de M. Guillaume, suivis de l’avanture de son enterrement";;
"DUWICQUET D’ORDRE, Louis-Alexandre, père";"Naru, fils de Chinki, histoire cochinchinoise qui peut servir à d’autres pays et de suite à celle de Chinki, son père";;
"ELIE DE BEAUMONT, Anne-Louise Dumesnil-Molin, madame";"Lettres du marquis de Roselle par madame ***";;
"EPINAY, Louise-Florence-Pétronille Tardieu d’Esclavelles, m marquise d’";"Lettres à mon fils";;
"EPINAY, Louise-Florence-Pétronille Tardieu d’Esclavelles, m marquise d’";"Mes moments heureux Genève, de mon";;
"EPINAY, Louise-Florence-Pétronille Tardieu d’Esclavelles, marquise d’";"Les conversations d’Emilie";;
"ERLACH, Rodolphe-Louis d’";"Code du bonheur renfermant des maximes et des réglés relatives aux devoirs de l’homme envers lui-même, envers ses semblables et envers Dieu, par M. Rodolphe-Louis d’Erlach, membre du Conseil souverain de la République de Berne & capitaine-général à Lugano";;
"ÉSOPE DE PHRYGIE et LOQMAN";"Fables d’Esope, précédées de celles de Lokman, traduction nouvelle, avec la vie des deux fabulistes et des notes instructives, par MM. Mulot & Cholet de Jetphont, représentans de la Commune de Paris";;
"ÉSOPE DE PHRYGIE et PHÈDRE";"Esope grec et latin, traduit en français par J.B. Gail, professeur de littérature grecque au Collège de France, place Cambrai";;
"ESTÈVE, Pierre";"La bergère, fragment d’une pastorale";;
"ESTRADE";"Mémoires de milady Worthon traduit (sic) de l’anglois par M. d’Estrade";;
"Europe, traduit du chinois";;;
"FA LQUES, Marianne-Agnès";"La dernière guerre des bêtes, fable pour servir à l’histoire du XVIIIe siècle, par l’auteur d’Abassaï";;
"Fables et contes indiens, avec un discours préliminaire et des";;;
"FABRE D’OLIVET, Antoine";"Azalaïs et le Gentil Aimar, histoire provençale traduite d’un ancien manuscrit provençal";;
"FAGNAN, Marie-Antoinette";"Le miroir des princesses orientales par madame Fagnan";;
"FAGNAN, Marie-Antoinette, Aimé-Ambroise-Joseph FEUTRY, Henri-François de LA SOLLE, madame Marie LÉPRINCE DE BEAUMONT et quelques AUTEURS INCONNUS";"Lectures sérieuses et amusantes";;
"FALCONET, Ambroise";"Le début ou les premières aventures du chevalier de ***";;
"FALQUES, Marianne-Agnes";"L’histoire de madame la marquise de Pompadour, traduite de l’anglois";;
"FALQUES, Marianne-Agnès";"Les préjugés trop bravés et trop suivis ou les mémoires de Mlle d’Oran, par mademoiselle de ***";;
"FALQUES, Marianne-Agnès";"Abbassai, histoire orientale De l’imprimerie de Bagdad et se trouve à";;
"FALQUES, Marianne-Agnès";"Dialogues moraux et amusants en anglois et en françois pour l’instruction de la jeunesse, par madame Fauques de Vaucluse";;
"FALQUES, Marianne-Agnès";"Contes du sérail traduits du turc";;
"FANTIN-DESODOARDS, Antoine-Etienne-Nicolas";"Ander-Can, raja de Brampour et Padmani, histoire orientale, traduite de la langue malabare par madame la comtesse de Ch M.R.D.";;
"FANTIN-DESODOARDS, Antoine-Étienne-Nicolas";"Révolutions de l’Inde pendant le dix-hùitième siècle ou mémoires de Typhoo-Zaeb, sultan du Maissour, écrits par lui-même et traduits de la langue indostane, publiés par Antoine Fantin-Desodoards, citoyen français";;
"FEITH, Rhinjvis";"Julie, par Rhynvis Feith, suivie de quelques morceaux du même auteur, le tout traduit du hollandais par H.J. Jansen, seconde édition";;
"FEITH, Rhinjvis";"Ferdinand et Constance, roman sentimental par M. Rhynvis Feith, suivi de quelques autres morceaux du même auteur, le tout traduit du hollandois";;
"FENESTRE DE HOTOT, Pierre-Alexandre-Eléonor";"Mémoires d’une provinciale écrits par elleunême";;
"FERRIÈRES, Charles-Elie, marquis de";"Saint-Flour et Justine ou histoire d’une jeune Française du dix-huitième siècle avec un dialogue sur le caractère moral des femmes, par M. de Fcrrieres";;
"FERRIÈRES, Charles-Elie, marquis de";"La femme et les Vœux, par M ***";;
"FEUTRY, Aimé-Ambroise-Joseph et un AUTEUR INCONNU";"quelques autres auteurs, en quatre parties, par M. Feutry . ..";;
"FIELDING, Henry";"Histoire de Jonathan Wild le Grand traduite de l’anglois de M. Fielding, auteur de Joseph Andrews et de Tom Jones";;
"FIELDING, Henry";"Amélie, roman de Mr. Fiedling (sic), traduit de l’anglois par Madme Riccoboni";;
"FIELDING, Henry";"Jones ou l’enfant trouvé, traduction nouvelle dans laquelle on a rétabli les morceaux supprimés dans celle de Laplacc, par le citoyen Davaux";;
"FIELDING, Henry";"Amélie, histoire angloise traduite fidèlement de l’anglois de M. Fielding";;
"FIELDING, Henry";"Julien l’Apostat ou voyage dans l’autre monde, traduit de Fielding par le sieur Kauffmann, interprète juré au Châtelet de Paris pour les langues allemande, angloise & italienne";;
"FIELDING, Sarah";"Belot Ophélie, roman traduit de l’anglois par M. B***";;
"FIÉVÉE, Joseph";"La dot de Suzette ou histoire de Mme. de Senneterre, racontée par elle-même";;
"FIÉVÉE, Joseph";"Frédéric, par J.F., auteur de la Dot de Suzette";;
"FISCHER, Christian August";"Conrard ou le croisé, anecdote du Xlle siècle, traduite de l’allemand par le citoyen Muller, édition ornée d’une figure gravée par Patas";;
"FISCHER. Johann Karl Christian";"Pietro d’Alby et Gianetta ou les protégés de Sainte-Catherine de Sienne, traduit de l’allemand par F.D.P.";;
"FLEURIOT, Jean-Marie-Jérôme, marquis de";"Langle Amours ou lettres d’Alexis et Justine, par M*****";;
"FLEURIOT, Jean-Marie-Jérôme, marquis de";"Langle Soirées villageoises ou anecdotes et aventures avec des secrets intéressants";;
"FLORIAN, Jean-Pierre";"Claris de Estelle, roman pastoral par M. de Florian, capitaine de dragons et gentilhomme de S.A.S. Mgr le duc de Penthièvre, des Académies de Madrid, de Florence, de Lyon, de Nîmes, d’Angers, etc., etc.";;
"FLORIAN, Jean-Pierre";"Claris de Œuvres posthumes de Florian, contenant Rosalba, nouvelle sicilienne, plusieurs fables inédites et le poème de Guillaume Tell, avec la vie de l’auteur, son portrait gravé par Clément, et quatre jolies figures dessinées par Monnet et gravées par Gaucher";;
"FLORIAN, Jean-Pierre";"Claris de Numa Pompilius, second roi de Rome, par M. de Florian, capitaine de dragons et gentilhomme de S.A.S. Mgr le duc de Penthièvre, de l’Académie de Madrid, etc.";;
"FLORIAN, Jean-Pierre";"Claris de Nouvelles nouvelles par M. de Florian de l’Académie françoise, de celles de Madrid, Florence, etc.";;
"FLORIAN, Jean-Pierre";"Claris de Gonzalve de Cordoue ou Grenade reconquise, par M. de Florian de l’Académie françoise, de celles de Madrid, Florence etc.";;
"FLORIAN, Jean-Pierre";"Claris de Mélanges de poésie et de littérature, par M. de Florian, capitaine de dragons et gentilhomme de S.A.S. Mgr. le duc de Penthièvre, des Académies de Madrid, de Florence, de Lyon, de Nismes, d’Angers etc.";;
"FLORIAN, Jean-Pierre";"Claris de Galatée, roman pastoral, imité de Cervantes par M. de Florian, capitaine de dragons et gentilhomme de S.A.S. Ml le duc de Penthievre";;
"FLORIAN, Jean-Pierre Claris de";"Les six nouvelles de M. de Florian, capitaine de dragons et gentilhomme de S.A.S. Mgr le duc de Penthièvre, des Académies de Madrid et de Lyon";;
"FLORIAN, Jean-Pierre Claris de, Barthélemy IMBERT, c Charles-Joseph de MAYER et d’autres";"Les soirées amusantes ou recueil choisi de nouveaux contes moraux";;
"FONTENELLE, Bernard";"Le Bouyer de La république des philosophes ou histoire des Ajaoiens, ouvrage posthume de monsieur de Fontenelle. On y a joint une Lettre sur la nudité des sauvages.";;
"FONTETTE DE SOMMERY, mademoiselle";"Lettres de madame la comtesse de L*** à monsieur le comte de R***";;
"FONTETTE DE SOMMERY, mademoiselle";"Lettres de mademoiselle de Tourville à madame la comtesse de Lenoncourt";;
"FONTETTE DE SOMMERY, mademoiselle";"L’oreille, conte asiatique";;
"FONTETTE DE SOMMERY, mademoiselle";"Le rosier et le brouillard, conte par le même auteur de (sic) VOreille";;
"FORTIA D’URBAN, Agricole-Joseph-François-Xavier- Pierre-Esprit-Simon-Paul-Antoine, marquis de";"Amusements littéraires, par M. le comte de Fortia";;
"FOURNIER DE TONY";"Les nymphes de Dyctyme ou révolution de l’empire virginal, par M. Fournier de Tony, secrétaire du Roi en la grande chancellerie";;
"FOURQUEUX, madame de et Claude-Henri de Fusée, abbé de VOISENON éd. par Antoine-Marie DANTU";"Le livre sans titre à l’usage de ceux qui sont éveillés pour les endormir et de ceux qui sont endormis pour les éveiller, par M. Coutan";;
"FOX. John";"Santa Maria ou la grossesse mystérieuse, traduit de l’anglais de Fox par madame Dufrénoy";;
"FRAMERY, Nicolas-Etienne";"Le passé, le présent et l’avenir, conte";;
"FRAMERY, Nicolas-Etienne";;;
"FRAMERY, Nicolas-Etienne";"Les trois nations, contes nationaux";;
"FRÉDÉRIC II, le Grand, roi de Prusse";;;
"FRENAIS, Joseph-Pierre";"Edelzinde, fille d’Amalazonthe, reine des Goths";;
"FRENAIS, Joseph-Pierre";"Histoire d’Agathe de St. Bohairc";;
"FRÉVILLE, Anne-François-Joachim";"Les jeux, les fables et les maximes, pour enseigner la lecture et la morale aux enfans avec une pirouette, par A. F. J. Fréville, auteur des nouveaux Essais d’éducation, de la Vie des enfans célèbres, profeésseur de littrature (sic) à l’Ecole centrale de Seine et Oise, etc. etc.";;
"FRÉVILLE, Anne-François-Joachim";"Les contes jaunes ou le livre de l’enfance, propre à familiariser l’âge le plus tendre avec la lecture et les premières notions de la morale, par A.F.J. Fréville";;
"FULCHIRON, Jean-Claude";"Quatre nouvelles, par J.C. Fulchiron";;
"FULLER, Anne";"Le Fils d’Ethelwolf, conte historique, par l’auteur d’Alan Fitz Osborne, etc.";;
"FULLER, Anne";"Le couvent ou histoire de Sophie Nelson, traduit de l’anglois";;
"FULLER, Anne";"Alan Fitz-Osborne, roman historique traduit de l’anglois sur la deuxième édition par mademoiselle *♦♦♦";;
"FULLER, Anne";"Histoire de miss Nelson, traduite de l’anglois par M. V.R..Y";;
"FUMELH, madame de";"Miss Anysie ou le triomphe des moeurs et des vertus, par Mme- de Fumelh";;
"FYOT DE LA MARCHE, Jean-Philippe";"Mémoires de monsieur de Berval Imprimés à";;
"GACON-DUFOUR, Marie-Armande-Jeanne d’Humières, madame";"Le préjugé vaincu ou lettres de madame la comtesse de .... et de madame de .... réfugiée en Angleterre, par M. le comte d’Ay.....officier au régiment de Beaujolois & madame Filh ....d’H.....";;
