L’aveugle par 
Mémoires de 
Les erreurs 
Les infortunes 
Les Samiens

Lettres du 
Nouveaux mélanges 
Idylles et 
Monsieur Guillaume 
Normandie ou 
Contes dévots

Voyage de 
Œuvres de 
L’honnête homme

La morale 
Le lama 
La découverte 
Œuvres posthumes 
La vie 
Dubois et 
Asmodée ou 
Les aventures 
Les aventures 
La courtisane 
L’heureuse infidélité 
Lecture du 
Lettres de 
Le mariage 
Les plaisirs 
Sophie et 
Le congrès 
L’espion dévalisé

L’ami des 
Le czarewitz 
Les liaisons 
Recueil pour 
Je veux 
Adèle et 
Fabius et 
Nouvelle traduction 
Lecture du 
Les ressources 
Le Canot 
L’Amérique découverte

Nouvelles
L’âge 
Mélanges tirés 
Œuvres anonymes

Scènes champêtres 
Histoire des 
Les contemporaines 
Adélaïde ou 
Corps d’extraits 
Les aveux 
Traduction nouvelle 
Le village 
La belle 
Le criminel 
Le Décaméron 
Les équipées 
Le fat 
Histoire de 
Histoire de 
Ma conversion

Rosalie ou 
Le triomphe 
Voyage de 
Cecilia ou 
Délassemens de 
Les époux 
Nouvelles historiques 
La morale 
Fragment de 
Le nouveau 
Les quatre 
Alexandrine ou 
Le mari 
Ancienne chronique 
L’enfer
Le 
Claris de 
L’isle inconnue 
L’Odissée
Les 
n Entretiens

Suite de 
Dolbreuse ou 
Les amours 
Anna Rose-Tree

Extrait d’un 
Œuvres pastorales 
Ma conversion

Secondât
Léonard 
La promenade 
Emilie Corbett 
Les contemporaines 
La dernière 
Histoire de 
Le portefeuille 
Les aventures 
Charles de 
La disgrâce 
Les amours 
L’art de 
Le char 
Le nouveau 
Romia
Le 
L’apothéose moderne

Le diner 
Histoire et 
Le livre 
Le petit 
Variétés morales 
Suite des 
Le cabriolet 
L’ami de 
Apologues et 
Le danger 
Contes et 
Le sylphe

Tuyll van 
Tuyll van 
Histoire du 
L’école des 
La dernière 
Baby-Bambou
Le 
Les six 
Amusements littéraires

Nouveau voyage 
Vie et 
Rea
L’Iliade

Les travaux 
Ramassis
Aabba 
Les folies 
L’insuffisance de 
Olinde
Le 
Histoire d’Eugénie 
Asgill ou 
Laure et 
Bergeries et 
Sept et 
Mon bonnet 
Histoire intéressante 
Lettres taïtiennes 
Histoire d’Ab-dal-Mazour

Derval et 
Le roi 
Faustin ou 
L’art de 
Récréations de 
Les deux 
La paysanne 
La prévention 
Histoire véritable 
Nouveau voyage 
Renaud
Vie 
Le voyage 
Œuvres complètes

L’année galante 
L’asile des 
Aventures singulières 
La bagatelle 
La belle 
Les deux 
L’exemple et 
L’inconnue
Julie 
Mémoires d’un 
La princesse 
Prix de 
La vie 
Les vieilles 
se trouve 
Lettres grecques 
Mélanges de 
Alida et 
Les dangers 
Les voyages 
Tablettes enchantées

Tuyll van 
Camille ou 
Cléomene ou 
Les soirées 
Lettres de 
Ismene et 
Les aventures 
L’Odyssée d’Homère

Eusèbe ou 
Seconde suite 
Richard Bodley 
Aventures et 
Les écarts 
Les dangers 
Les veillées 
Clarisse Harlowc

Le vice 
Suite de 
Suite et 
Jérusalem délivrée

Pièces morales 
Alexandrine de 
L’amitié dangereuse 
Les aventures 
Aventures du 
Bibliothèque choisie 
Le chevalier 
Daphnis et 
Les égaremens 
Euphémie
Exercices 
Le fils 
Histoire galante 
Les loisirs 
Les malheureuses 
Mémoires d’une 
Les soirées 
Valentine ou 
Délassemens de 
Le somnambule

Lettres sur 
Les heures 
Les entretiens 
Conversations des 
Nouvelles histoires 
Laure ou 
Les folies 
Zélie dans 
Sandford et 
Lettres à 
Mémoires de 
Langle Amours 
Claris de 
Le nouveau

Lettres de 
Les confessions 
Mes promenades 
Le souterrain 
Tableau des 
Cruzamante ou 
Mémoires de 
Mémoires de 
L’heureux jeune 
L’hypocrite démasqué 
Tout est 
Nicolas de 
Le rideau 
Potier de 
Le nouveau 
Amusemens géographiques 
Confessions du 
Choix de 
Idylles ou 
La femme 
